sp:-2.46, pv:-2.56, o:-1.82, s:56.00
sp:-2.46, pv:-2.60, o:-9.21, s:64.00
sp:-2.46, pv:-2.57, o:0.99, s:56.00
sp:-2.46, pv:-2.56, o:-1.10, s:56.00
sp:-2.46, pv:-2.52, o:5.30, s:60.00
sp:-2.46, pv:-2.52, o:-0.15, s:56.00
sp:-2.46, pv:-2.53, o:-1.21, s:56.00
sp:-2.46, pv:-2.53, o:-1.46, s:56.00
sp:-2.46, pv:-2.54, o:-2.15, s:57.00
sp:-2.46, pv:-2.56, o:-4.09, s:59.00
